college_code,branch_code,community,college_enc,branch_enc,community_enc,cutoff_trend,hist_closing,hist_opening,hist_mean,hist_count,last_closing,last_year
3701,CS,BC,215,29,0,-3.5357,182.72,188.89,185.28,5.0,177.0,2023.0
2005,PR,MBC,98,84,2,-2.185,182.29,185.84,182.81,9.0,179.5,2024.0
4,EC,SCA,248,34,7,0.1216,186.77,188.98,187.6,6.0,191.0,2024.0
2369,CS,BC,116,29,0,-2.221,181.46,190.24,183.96,23.0,179.5,2024.0
3819,CS,MBC,230,29,2,0.4268,180.67,192.08,185.28,20.0,180.5,2024.0
1,EM,ST,0,39,8,-2.5,184.0,184.0,184.0,3.0,180.5,2024.0
2653,AD,BC,152,0,0,0.3292,184.95,190.05,187.04,6.0,184.0,2024.0
2719,IT,OC,170,57,5,-2.0785,183.01,185.21,184.17,17.0,182.5,2024.0
2007,CM,SC,100,25,6,-0.43,184.4,187.07,185.07,16.0,185.5,2024.0
1112,EC,BC,7,34,0,-0.1504,179.88,187.81,181.01,33.0,179.0,2024.0
2739,AD,MBC,183,0,2,0.7324,180.86,189.07,183.29,47.0,179.0,2024.0
2740,CS,BC,184,29,0,-2.5282,183.7,189.7,182.71,15.0,179.0,2024.0
1210,IT,MBC,24,57,2,-1.926,182.38,183.27,182.54,5.0,180.5,2024.0
4672,EC,BC,254,34,0,0.75,183.83,183.83,183.83,3.0,182.5,2024.0
1211,AE,MBC,25,1,2,-0.1113,181.39,187.38,183.25,11.0,179.22,2024.0
1315,EE,SC,49,35,6,-1.532,182.54,188.0,184.18,35.0,182.0,2024.0
4954,CS,BC,273,29,0,-1.6272,181.84,187.7,183.92,12.0,179.5,2024.0
2711,MZ,BC,164,76,0,3.375,185.0,186.62,184.8,3.0,187.5,2022.0
2620,CS,BC,130,29,0,-1.8012,183.24,189.47,187.2,9.0,180.0,2024.0
2718,CJ,MBC,169,23,2,-1.9186,181.61,186.79,183.06,20.0,179.0,2024.0
2702,IT,MBC,157,57,2,-1.5264,181.17,186.45,182.34,39.0,179.5,2024.0
4981,EC,BC,291,34,0,-1.1514,189.06,189.06,189.06,3.0,188.5,2024.0
2706,CS,OC,159,29,5,-0.4612,184.86,187.24,185.77,8.0,185.5,2024.0
1128,AD,BC,18,0,0,-3.8905,183.14,185.72,182.7,10.0,182.5,2024.0
2719,EC,BC,170,34,0,-2.21,180.98,189.67,181.7,71.0,179.0,2024.0
2025,CS,SC,101,29,6,-1.7016,183.8,186.9,184.92,13.0,180.5,2024.0
1432,CO,BC,78,27,0,-1.7326,181.97,188.92,184.12,40.0,180.0,2024.0
4974,EE,BCM,287,35,1,1.25,182.23,187.62,184.34,7.0,180.5,2024.0
2709,EC,BC,162,34,0,-1.0166,182.2,187.92,182.6,25.0,181.0,2024.0
1211,CB,MBC,25,15,2,-1.1195,181.75,187.53,183.64,30.0,180.5,2024.0
1311,AO,BC,48,5,0,-1.4994,182.24,191.13,186.86,13.0,179.0,2024.0
3826,BM,MBC,233,10,2,-1.625,184.08,184.08,184.08,3.0,181.5,2024.0
2601,CS,BCM,118,29,1,0.215,182.13,182.13,182.13,3.0,179.0,2023.0
2622,CS,MBC,132,29,2,-0.8929,185.65,187.19,186.44,5.0,184.5,2024.0
1211,MZ,BC,25,76,0,-1.82,180.71,184.91,181.56,16.0,179.0,2024.0
5986,CS,MBC,325,29,2,-1.6456,181.91,186.98,183.43,14.0,179.5,2024.0
2702,AD,MBC,157,0,2,-1.5427,181.61,187.75,181.98,43.0,179.0,2024.0
1,ME,SCA,0,65,7,-0.9208,184.66,187.12,185.34,7.0,182.5,2024.0
2750,AD,BC,190,0,0,-1.4106,183.71,187.36,184.91,6.0,184.0,2024.0
